Coefficients order=180 Central=C   0:180
Observation time
          B0 angle & Nmax:        0          180





Max Harmonic Order:180              Units: Gauss
 
  l   m      g(uT)      h(uT)
 
   17    3       -1.5605997445        0.7895946314
   17    4        0.4123842388       -1.4283880956
   17    5       -1.7064701600       -0.6959998981
   17    6        1.4010542763        0.3930231699
   17    7       -0.2530694720       -0.9986899051
   17    8        0.7586881477        0.8147225275
   17    9        0.9446170536       -1.6996400813
   17   10       -0.8516751572        0.2679559842
   17   11        1.4000777939       -0.1770960325
   17   12       -1.5273962435       -0.7308857963
   17   13        0.4834247490        2.0563007342
   17   14       -0.6223228814       -1.4291360796
   17   15       -1.7878126075        0.0601045979
   17   16        0.6719678861       -2.3913037852
   17   17       -2.5263659639       -5.3575644211
   18    0       -1.1460872362        0.0000000000
   18    1        0.3959242842       -1.1419401053
   18    2       -1.1107055122       -1.1445537894
   18    3        1.5355352244       -0.2568045896
   18    4        0.4313127228       -0.9305201878
   18    5        0.8989059696        1.0386569454
   18    6        1.1058397635       -0.3725341242
   18    7       -0.9392298949        1.1861808973
   18    8        0.5174607239        1.0984336693
   18    9       -2.0161067793       -0.0652559156
   18   10       -0.1697524671        0.2346336887
   18   11       -1.2190827115       -2.0529047056
   18   12       -1.0319001686        0.5440663033
   18   13        1.2671419496       -1.3888832038
   18   14       -0.8705571973       -1.3143948292
   18   15        2.3223973442       -0.4163990650
   18   16        0.4279774369       -2.3557835045
   18   17       -0.0169412054        0.3302107885
   18   18        2.9346300736       -0.1602488327
   19    0        0.2381126776        0.0000000000
   19    1       -0.0292646267        0.0050737278
   19    2        1.0830228289        1.2554249172
   19    3        0.1346034007       -0.4331309976
   19    4       -0.3744462664        1.7126089200
   19    5        0.7876647052        0.2188115880
   19    6       -1.7161281281       -0.6393972172
   19    7        0.3878548066        0.6550311963
   19    8       -1.0696973752       -0.8400971703
   19    9       -0.8482493024        1.0609754071
   19   10        0.2005090795       -1.1491008573
   19   11       -0.8163836437        0.3372074474
   19   12        1.6050904847       -0.4082090161
   19   13       -0.7087093215       -1.4627571228
   19   14        0.3882277569        1.5405607711
   19   15        0.5998885526       -0.8215046198
   19   16       -1.3395025659        2.2810332057
   19   17        0.3355760761        1.0976200163
   19   18       -1.6249343405        0.4864010512
   19   19       -1.9289595072        4.4393003387
   20    0        0.4615509290        0.0000000000
   20    1       -0.5650857917        1.3276797699
   20    2       -0.0211956726        0.6772340289
   20    3       -1.6266178859        0.0238650183
   20    4       -0.1742309250       -0.4076862216
   20    5       -1.1300039228       -1.6452529011
   20    6       -0.5448995602       -0.1633158395
   20    7        0.7853658368       -1.7290376870
   20    8       -0.1667246521        0.1660195563
   20    9        1.8832624306        0.2552786279
   20   10       -0.0715783488        0.2413152849
   20   11        1.2356502915        1.8559487226
   20   12        0.2440907529       -0.0928386397
   20   13       -1.7670213783        1.4517396492
   20   14       -0.4026014546        0.1443478251
   20   15       -2.8174145726        0.0153489382
   20   16       -0.6513361541        0.5303634996
   20   17       -2.0234417421       -1.3614991872
   20   18       -1.1364809122       -0.6958320338
   20   19       -0.5263122976       -0.4843933232
   20   20       -3.2567466095       -3.3621229652
   21    0       -1.3157601894        0.0000000000
   21    1        0.4598369554       -0.6323051413
   21    2       -0.4344430401       -1.2699251744
   21    3       -0.3060520878       -0.2391705065
   21    4        0.2909213181       -0.7852584891
   21    5        0.0196181131        0.4335245856
   21    6        1.1998944607        0.0573915201
   21    7       -0.5899720724        0.3217402904
   21    8        1.4434846438        1.3995755798
   21    9        0.1269094979        0.2107146317
   21   10       -0.0888767941        1.6216271549
   21   11        0.2238974060       -0.5952028571
   21   12       -2.1145878940        0.9592421188
   21   13        0.0498088519        0.5403627800
   21   14       -1.0046840645       -1.1324656875
   21   15       -0.5477656344        0.5637284606
   21   16        0.8041154745       -2.1220928348
   21   17       -0.5624518949       -0.4255379470
   21   18        2.0838289137       -1.3829025543
   21   19        0.1850881533       -0.5332647534
   21   20        0.3698357612        0.4304315475
   21   21        4.0005237136        0.0429115055
   22    0        1.2345331944        0.0000000000
   22    1        0.9455028971       -1.8697408588
   22    2        0.8846517392        0.5115782701
   22    3        1.7334782867        0.2279120710
   22    4       -0.1179201240        0.6406561944
   22    5        0.4436417210        1.5603116482
   22    6       -0.3894889364        0.6131472802
   22    7       -0.9894456567        1.2165512151
   22    8       -0.6705105874       -0.3005630284
   22    9       -1.6522598650        0.4095616576
   22   10       -0.2852242600       -1.1008246829
